Graph Type,Num Nodes,Edge Probability,Radius,Weight Scheme,Solution,Run time,Objective Function Value
RG,20,0.05,,Neutral,"[0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19]",0.029572725296020508,1202.0
RG,20,0.05,,Neutral,"[0, 1, 3, 5, 7, 8, 9, 11, 13, 15, 16, 17, 18]",0.03989052772521973,1033.0
RG,20,0.05,,Neutral,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 17]",0.026926517486572266,921.0
RG,20,0.05,,Neutral,"[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16, 18, 19]",0.02626967430114746,1007.0
RG,20,0.05,,Node-Oriented,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19]",0.025929689407348633,10359.0
RG,20,0.05,,Node-Oriented,"[0, 1, 2, 3, 4, 5, 8, 9, 11, 13, 15, 16, 17, 19]",0.01994633674621582,5512.0
RG,20,0.05,,Node-Oriented,"[1, 2, 3, 4, 5, 6, 9, 12, 13, 14, 16, 17, 18, 19]",0.021932363510131836,7736.0
RG,20,0.05,,Node-Oriented,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 16, 17, 19]",0.02592754364013672,7144.0
RG,20,0.05,,Edge-Oriented,"[0, 1, 2, 5, 6, 7, 9, 11, 12, 13, 16, 18, 19]",0.020532608032226562,2356.0
RG,20,0.05,,Edge-Oriented,"[1, 2, 3, 5, 6, 7, 10, 11, 13, 15, 16, 17, 18, 19]",0.019945383071899414,3195.0
RG,20,0.05,,Edge-Oriented,"[0, 2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18]",0.021076679229736328,2133.0
RG,20,0.05,,Edge-Oriented,"[2, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]",0.025044679641723633,3830.0
RG,20,0.15,,Neutral,"[0, 5, 6, 7, 8, 15, 16, 17, 18]",0.019980907440185547,766.0
RG,20,0.15,,Neutral,"[2, 3, 4, 5, 7, 8, 9, 13, 14, 16, 18]",0.022576570510864258,765.0
RG,20,0.15,,Neutral,"[0, 2, 4, 5, 12, 13, 14, 16, 17]",0.08375811576843262,736.0
RG,20,0.15,,Neutral,"[0, 1, 2, 4, 6, 9, 12, 14, 15, 18, 19]",0.018949031829833984,830.0
RG,20,0.15,,Node-Oriented,"[1, 2, 3, 4, 5, 6, 11, 16, 17, 18]",0.01994800567626953,6579.0
RG,20,0.15,,Node-Oriented,"[0, 4, 6, 7, 9, 12, 15, 17, 19]",0.035436391830444336,7125.0
RG,20,0.15,,Node-Oriented,"[0, 2, 3, 5, 6, 7, 13, 15, 16, 18]",0.01894998550415039,6875.0
