Graph Type,Num Nodes,Edge Probability,Radius,Weight Scheme,Solution,Run time,Objective Function Value
RG,20,0.05,,Neutral,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 0.0, 14: 0.0, 15: 1.0, 16: 1.0, 17: 0.0, 18: 1.0, 19: 0.0, (2, 13): 1.0, (3, 14): 1.0, (4, 8): 1.0, (4, 19): 1.0, (7, 17): 1.0, (12, 14): 0.0}",0.12730121612548828,1106.0
RG,20,0.05,,Neutral,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 0.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 0.0, (1, 12): 0.0, (2, 5): 1.0, (2, 13): 1.0, (3, 10): 1.0, (3, 19): 0.0, (4, 11): 1.0, (4, 12): 0.0, (5, 14): 0.0, (6, 13): 0.0, (9, 12): 1.0, (9, 14): 1.0, (12, 14): 0.0, (16, 19): 1.0}",0.037935495376586914,1033.0
RG,20,0.05,,Neutral,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 1.0, 19: 0.0, (1, 15): 0.0, (5, 19): 1.0, (13, 17): 1.0, (14, 15): 1.0, (14, 16): 1.0, (17, 18): 0.0}",0.031149864196777344,843.0
RG,20,0.05,,Neutral,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 0.0, 18: 1.0, 19: 1.0, (0, 10): 1.0, (5, 9): 1.0, (7, 8): 1.0, (9, 17): 0.0, (14, 17): 1.0}",0.029210567474365234,1046.0
RG,20,0.05,,Node-Oriented,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 0.0, 15: 1.0, 16: 1.0, 17: 0.0, 18: 1.0, 19: 1.0, (3, 6): 1.0, (4, 6): 0.0, (5, 14): 1.0, (6, 15): 0.0, (14, 19): 0.0, (15, 17): 1.0}",0.025617122650146484,9653.0
RG,20,0.05,,Node-Oriented,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.0, 7: 1.0, 8: 1.0, 9: 0.0, 10: 1.0, 11: 1.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 0.0, 19: 1.0, (2, 14): 1.0, (3, 12): 1.0, (4, 6): 1.0, (7, 9): 1.0, (7, 18): 1.0, (10, 13): 1.0, (15, 18): 0.0}",0.058817386627197266,5401.0
RG,20,0.05,,Node-Oriented,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.0, 9: 1.0, 10: 0.0, 11: 1.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 1.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, (0, 12): 1.0, (0, 18): 1.0, (2, 8): 1.0, (2, 10): 1.0, (7, 13): 1.0, (7, 14): 1.0, (11, 17): 1.0, (11, 19): 1.0, (15, 16): 1.0}",0.02901434898376465,5160.0
RG,20,0.05,,Node-Oriented,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 0.0, 8: 0.0, 9: 1.0, 10: 0.0, 11: 0.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 0.0, 16: 1.0, 17: 0.0, 18: 1.0, 19: 1.0, (0, 10): 1.0, (0, 11): 1.0, (0, 17): 0.0, (1, 7): 1.0, (4, 8): 1.0, (5, 8): 0.0, (8, 13): 0.0, (10, 18): 0.0, (12, 15): 1.0, (13, 17): 0.0, (14, 17): 1.0}",0.02539825439453125,6009.0
RG,20,0.05,,Edge-Oriented,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 0.0, 14: 1.0, 15: 0.0, 16: 1.0, 17: 1.0, 18: 0.0, 19: 1.0, (0, 8): 1.0, (3, 6): 1.0, (4, 7): 1.0, (4, 13): 1.0, (6, 14): 0.0, (6, 17): 0.0, (10, 18): 1.0, (12, 15): 1.0, (13, 17): 0.0, (15, 16): 0.0, (15, 18): 0.0}",0.024222612380981445,2368.0
RG,20,0.05,,Edge-Oriented,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 1.0, 11: 0.0, 12: 0.0, 13: 1.0, 14: 0.0, 15: 0.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 0.0, (0, 11): 1.0, (0, 12): 1.0, (0, 14): 0.0, (1, 8): 1.0, (3, 14): 1.0, (4, 7): 1.0, (4, 14): 0.0, (4, 15): 1.0, (4, 19): 1.0, (6, 9): 1.0, (6, 14): 0.0, (7, 12): 0.0, (8, 10): 0.0}",0.025692462921142578,3296.0
