Graph Type,Num Nodes,Edge Probability,Radius,Weight Scheme,Solution,Run time,Objective Function Value
RG,20,0.05,,Neutral,[],0.03964495658874512,1106.0
RG,20,0.05,,Neutral,[],0.031546592712402344,1033.0
RG,20,0.05,,Neutral,[],0.03564095497131348,843.0
RG,20,0.05,,Neutral,[],0.03126955032348633,1046.0
RG,20,0.05,,Node-Oriented,[],0.027057409286499023,9653.0
RG,20,0.05,,Node-Oriented,[],0.024062395095825195,5401.0
RG,20,0.05,,Node-Oriented,[],0.024796724319458008,5160.0
RG,20,0.05,,Node-Oriented,[],0.02669072151184082,6009.0
RG,20,0.05,,Edge-Oriented,[],0.024042367935180664,2368.0
RG,20,0.05,,Edge-Oriented,[],0.025794267654418945,3296.0
RG,20,0.05,,Edge-Oriented,[],0.02431321144104004,2128.0
RG,20,0.05,,Edge-Oriented,[],0.023237943649291992,4035.0
RG,20,0.15,,Neutral,[],0.03180551528930664,705.0
RG,20,0.15,,Neutral,[],0.02635025978088379,953.0
RG,20,0.15,,Neutral,[],0.02435445785522461,949.0
RG,20,0.15,,Neutral,[],0.0270383358001709,1055.0
RG,20,0.15,,Node-Oriented,[],0.026098251342773438,5513.0
RG,20,0.15,,Node-Oriented,[],0.025534868240356445,4954.0
RG,20,0.15,,Node-Oriented,[],0.0262753963470459,5648.0
RG,20,0.15,,Node-Oriented,[],0.02696990966796875,5260.0
RG,20,0.15,,Edge-Oriented,[],0.02147698402404785,7002.0
RG,20,0.15,,Edge-Oriented,[],0.019990921020507812,3086.0
RG,20,0.15,,Edge-Oriented,[],0.028409242630004883,4067.0
RG,20,0.15,,Edge-Oriented,[],0.020937442779541016,3448.0
RG,20,0.25,,Neutral,[],0.031204700469970703,869.0
RG,20,0.25,,Neutral,[],0.027276039123535156,804.0
RG,20,0.25,,Neutral,[],0.023730993270874023,854.0
RG,20,0.25,,Neutral,[],0.033516645431518555,876.0
RG,20,0.25,,Node-Oriented,[],0.029865741729736328,3462.0
RG,20,0.25,,Node-Oriented,[],0.029839515686035156,4365.0
RG,20,0.25,,Node-Oriented,[],0.025718212127685547,4111.0
RG,20,0.25,,Node-Oriented,[],0.025165319442749023,2800.0
RG,20,0.25,,Edge-Oriented,[],0.024964332580566406,4214.0
RG,20,0.25,,Edge-Oriented,[],0.023183345794677734,5858.0
RG,20,0.25,,Edge-Oriented,[],0.03690361976623535,8195.0
RG,20,0.25,,Edge-Oriented,[],0.030715465545654297,6539.0
RG,45,0.05,,Neutral,[],0.02163529396057129,2209.0
RG,45,0.05,,Neutral,[],0.030177831649780273,2289.0
RG,45,0.05,,Neutral,[],0.015969038009643555,1920.0
RG,45,0.05,,Neutral,[],0.03163027763366699,2391.0
RG,45,0.05,,Node-Oriented,[],0.03167843818664551,13710.0
RG,45,0.05,,Node-Oriented,[],0.022257089614868164,10092.0
RG,45,0.05,,Node-Oriented,[],0.02918410301208496,14052.0
RG,45,0.05,,Node-Oriented,[],0.030856847763061523,13182.0
RG,45,0.05,,Edge-Oriented,[],0.020220518112182617,9705.0
RG,45,0.05,,Edge-Oriented,[],0.030534029006958008,8478.0
RG,45,0.05,,Edge-Oriented,[],0.021765947341918945,9810.0
RG,45,0.05,,Edge-Oriented,[],0.0264284610748291,11073.0
RG,45,0.15,,Neutral,[],0.04150056838989258,2460.0
RG,45,0.15,,Neutral,[],0.03999829292297363,1667.0
RG,45,0.15,,Neutral,[],0.04511308670043945,2083.0
RG,45,0.15,,Neutral,[],0.039608001708984375,2222.0
RG,45,0.15,,Node-Oriented,[],0.03531670570373535,7340.0
RG,45,0.15,,Node-Oriented,[],0.03555417060852051,8098.0
RG,45,0.15,,Node-Oriented,[],0.07609200477600098,7849.0
RG,45,0.15,,Node-Oriented,[],0.03633856773376465,5413.0
RG,45,0.15,,Edge-Oriented,[],0.034942626953125,10445.0
RG,45,0.15,,Edge-Oriented,[],0.03689384460449219,14455.0
RG,45,0.15,,Edge-Oriented,[],0.06634950637817383,11606.0
RG,45,0.15,,Edge-Oriented,[],0.07457828521728516,8258.0
RG,45,0.25,,Neutral,[],0.07506108283996582,1319.0
RG,45,0.25,,Neutral,[],0.048093557357788086,2073.0
RG,45,0.25,,Neutral,[],0.05101585388183594,1883.0
RG,45,0.25,,Neutral,[],0.04915213584899902,1474.0
RG,45,0.25,,Node-Oriented,[],0.05001258850097656,4800.0
RG,45,0.25,,Node-Oriented,[],0.04796719551086426,5355.0
RG,45,0.25,,Node-Oriented,[],0.03980731964111328,3132.0
RG,45,0.25,,Node-Oriented,[],0.06136322021484375,4496.0
RG,45,0.25,,Edge-Oriented,[],0.05172228813171387,13387.0
RG,45,0.25,,Edge-Oriented,[],0.047417402267456055,10376.0
RG,45,0.25,,Edge-Oriented,[],0.04278278350830078,12431.0
RG,45,0.25,,Edge-Oriented,[],0.03920483589172363,14009.0
RG,60,0.05,,Neutral,[],0.03343558311462402,2137.0
RG,60,0.05,,Neutral,[],0.033403873443603516,2886.0
RG,60,0.05,,Neutral,[],0.03477191925048828,2600.0
RG,60,0.05,,Neutral,[],0.0320587158203125,2994.0
RG,60,0.05,,Node-Oriented,[],0.028957128524780273,14749.0
RG,60,0.05,,Node-Oriented,[],0.021742582321166992,14381.0
RG,60,0.05,,Node-Oriented,[],0.03513598442077637,15186.0
RG,60,0.05,,Node-Oriented,[],0.03071308135986328,15428.0
RG,60,0.05,,Edge-Oriented,[],0.03606534004211426,11747.0
RG,60,0.05,,Edge-Oriented,[],0.030371665954589844,12715.0
RG,60,0.05,,Edge-Oriented,[],0.06675982475280762,13431.0
RG,60,0.05,,Edge-Oriented,[],0.049909353256225586,11058.0
RG,60,0.15,,Neutral,[],0.0676121711730957,2378.0
RG,60,0.15,,Neutral,[],0.0666191577911377,2159.0
RG,60,0.15,,Neutral,[],0.1071615219116211,2690.0
RG,60,0.15,,Neutral,[],0.05847883224487305,2238.0
RG,60,0.15,,Node-Oriented,[],0.05150151252746582,11376.0
RG,60,0.15,,Node-Oriented,[],0.050315141677856445,5293.0
RG,60,0.15,,Node-Oriented,[],0.04914069175720215,7729.0
RG,60,0.15,,Node-Oriented,[],0.06297445297241211,8992.0
RG,60,0.15,,Edge-Oriented,[],0.06724810600280762,14539.0
RG,60,0.15,,Edge-Oriented,[],0.052094221115112305,21130.0
RG,60,0.15,,Edge-Oriented,[],0.05504274368286133,17217.0
RG,60,0.15,,Edge-Oriented,[],0.06132364273071289,16784.0
RG,60,0.25,,Neutral,[],0.0735938549041748,2092.0
RG,60,0.25,,Neutral,[],0.09221363067626953,2251.0
RG,60,0.25,,Neutral,[],0.10460281372070312,2078.0
RG,60,0.25,,Neutral,[],0.0599672794342041,2438.0
RG,60,0.25,,Node-Oriented,[],0.08130097389221191,5265.0
RG,60,0.25,,Node-Oriented,[],0.06026148796081543,5411.0
RG,60,0.25,,Node-Oriented,[],0.07512116432189941,4905.0
RG,60,0.25,,Node-Oriented,[],0.08352923393249512,3242.0
RG,60,0.25,,Edge-Oriented,[],0.08213233947753906,17807.0
RG,60,0.25,,Edge-Oriented,[],0.08554434776306152,13594.0
RG,60,0.25,,Edge-Oriented,[],0.09900307655334473,16476.0
RG,60,0.25,,Edge-Oriented,[],0.06435728073120117,18445.0
RGG,20,,0.14,Neutral,[],0.03422832489013672,1137.0
RGG,20,,0.14,Neutral,[],0.016754865646362305,892.0
RGG,20,,0.14,Neutral,[],0.01662278175354004,1254.0
RGG,20,,0.14,Neutral,[],0.02486586570739746,1047.0
RGG,20,,0.14,Node-Oriented,[],0.024082183837890625,5040.0
RGG,20,,0.14,Node-Oriented,[],0.017709732055664062,9321.0
RGG,20,,0.14,Node-Oriented,[],0.017273902893066406,4853.0
RGG,20,,0.14,Node-Oriented,[],0.018845319747924805,5663.0
RGG,20,,0.14,Edge-Oriented,[],0.018881559371948242,2720.0
RGG,20,,0.14,Edge-Oriented,[],0.014239072799682617,4450.0
RGG,20,,0.14,Edge-Oriented,[],0.02969646453857422,3692.0
RGG,20,,0.14,Edge-Oriented,[],0.017647504806518555,3456.0
RGG,20,,0.24,Neutral,[],0.02378988265991211,1051.0
RGG,20,,0.24,Neutral,[],0.024369001388549805,925.0
RGG,20,,0.24,Neutral,[],0.016582965850830078,899.0
RGG,20,,0.24,Neutral,[],0.04998636245727539,943.0
RGG,20,,0.24,Node-Oriented,[],0.01749420166015625,2498.0
RGG,20,,0.24,Node-Oriented,[],0.031479597091674805,5594.0
RGG,20,,0.24,Node-Oriented,[],0.01870584487915039,3552.0
RGG,20,,0.24,Node-Oriented,[],0.01745009422302246,4628.0
RGG,20,,0.24,Edge-Oriented,[],0.015873432159423828,7150.0
RGG,20,,0.24,Edge-Oriented,[],0.02468252182006836,7632.0
RGG,20,,0.24,Edge-Oriented,[],0.02564072608947754,4682.0
RGG,20,,0.24,Edge-Oriented,[],0.019994497299194336,6552.0
RGG,20,,0.34,Neutral,[],0.01864480972290039,953.0
RGG,20,,0.34,Neutral,[],0.027579545974731445,798.0
RGG,20,,0.34,Neutral,[],0.028452396392822266,1088.0
RGG,20,,0.34,Neutral,[],0.029129981994628906,912.0
RGG,20,,0.34,Node-Oriented,[],0.027853965759277344,2252.0
RGG,20,,0.34,Node-Oriented,[],0.03933835029602051,2162.0
RGG,20,,0.34,Node-Oriented,[],0.04759716987609863,3699.0
RGG,20,,0.34,Node-Oriented,[],0.028636932373046875,3398.0
RGG,20,,0.34,Edge-Oriented,[],0.0304110050201416,7755.0
RGG,20,,0.34,Edge-Oriented,[],0.033331871032714844,4726.0
RGG,20,,0.34,Edge-Oriented,[],0.03563046455383301,5511.0
RGG,20,,0.34,Edge-Oriented,[],0.03201723098754883,6888.0
RGG,45,,0.14,Neutral,[],0.03231620788574219,2131.0
RGG,45,,0.14,Neutral,[],0.03426957130432129,2186.0
RGG,45,,0.14,Neutral,[],0.03707575798034668,2440.0
RGG,45,,0.14,Neutral,[],0.028571367263793945,2199.0
RGG,45,,0.14,Node-Oriented,[],0.020072221755981445,9186.0
RGG,45,,0.14,Node-Oriented,[],0.0299222469329834,8147.0
RGG,45,,0.14,Node-Oriented,[],0.029134273529052734,10622.0
RGG,45,,0.14,Node-Oriented,[],0.021791458129882812,6887.0
RGG,45,,0.14,Edge-Oriented,[],0.015701770782470703,10040.0
RGG,45,,0.14,Edge-Oriented,[],0.034386634826660156,11479.0
RGG,45,,0.14,Edge-Oriented,[],0.04854416847229004,11580.0
RGG,45,,0.14,Edge-Oriented,[],0.0317080020904541,12211.0
RGG,45,,0.24,Neutral,[],0.03176164627075195,1850.0
RGG,45,,0.24,Neutral,[],0.02918267250061035,1709.0
RGG,45,,0.24,Neutral,[],0.03379249572753906,2265.0
RGG,45,,0.24,Neutral,[],0.03587770462036133,1977.0
